customer_id,tenure_months,recency_days,purchase_frequency_90d,avg_ticket,support_tickets_90d,payment_delay_days,failed_payments_90d,login_days_30d,usage_ratio,nps_score,satisfaction_score,plan_value,plan_type,contract_type,payment_method,region,churn
118,43.4,26,0,192.9,0,24,1,25,0.924,9,5,150.8,padrao,anual,cartao,nordeste,0
119,26.5,61,7,1041.26,3,4,1,7,0.442,9,3,126.2,basico,anual,boleto,sudeste,1
120,38.0,33,14,40.48,6,25,2,21,0.418,9,1,316.99,padrao,anual,boleto,sudeste,0
121,35.5,28,12,104.89,7,13,0,3,0.273,2,2,44.19,basico,mensal,debito,sul,0
122,39.3,72,19,462.69,6,10,0,0,0.569,8,1,136.7,basico,anual,pix,nordeste,0
123,6.0,96,19,836.8,4,28,0,19,0.145,10,4,231.09,basico,anual,boleto,centro-oeste,1
124,25.5,53,4,436.38,7,15,2,2,0.799,0,4,211.31,premium,mensal,debito,centro-oeste,1
125,3.5,17,0,116.92,3,6,0,8,0.491,9,4,378.36,padrao,mensal,boleto,nordeste,0
126,30.1,30,5,408.69,3,24,2,23,0.566,9,1,343.62,basico,mensal,debito,nordeste,0
127,20.5,20,17,324.18,1,21,1,14,0.841,9,2,310.48,basico,anual,pix,norte,0
128,9.5,106,16,46.29,6,5,3,11,0.185,4,3,224.97,basico,mensal,boleto,sul,1
129,7.1,39,1,660.37,2,20,0,8,0.175,2,1,194.31,basico,anual,debito,norte,1
130,35.7,45,3,175.31,1,18,1,20,0.421,8,1,53.07,basico,mensal,pix,norte,0
131,11.1,9,11,373.5,2,8,0,28,0.786,6,2,335.7,premium,anual,debito,norte,0
132,55.6,54,13,783.78,4,12,1,22,0.059,7,3,194.96,basico,mensal,cartao,centro-oeste,0
133,35.3,109,19,881.13,2,25,2,10,0.795,2,1,155.45,premium,anual,boleto,sul,1
134,21.5,49,15,345.61,2,5,0,12,0.501,1,5,258.29,basico,mensal,boleto,sudeste,0
135,35.9,78,4,421.86,2,21,2,3,0.562,9,3,311.39,padrao,anual,pix,nordeste,0
136,2.3,22,0,326.41,4,24,3,4,0.564,5,1,228.2,basico,anual,debito,sul,1
137,57.6,18,12,1149.99,5,28,0,8,0.056,9,1,93.75,basico,mensal,cartao,sudeste,0
138,29.5,88,11,261.0,5,9,0,11,0.25,10,5,371.69,padrao,mensal,cartao,sudeste,0
139,47.2,8,18,252.49,1,7,3,29,0.755,5,3,80.53,basico,mensal,pix,nordeste,0
140,5.9,54,11,556.24,2,28,2,26,0.412,2,5,388.95,premium,mensal,boleto,centro-oeste,0
141,29.7,38,10,259.6,5,13,3,3,0.561,9,4,199.19,padrao,anual,pix,sul,0
142,30.0,2,6,221.78,1,17,2,9,0.945,7,5,380.68,premium,mensal,cartao,nordeste,0
143,56.3,64,1,151.22,0,15,2,1,0.046,7,5,369.17,padrao,anual,pix,sudeste,0
144,34.7,115,17,782.6,2,15,0,1,0.45,10,4,186.16,basico,mensal,cartao,sudeste,0
145,28.9,9,16,750.02,5,18,2,11,0.361,2,5,327.91,basico,anual,debito,norte,0
146,16.8,98,3,794.19,5,12,1,28,0.106,3,5,72.22,padrao,mensal,cartao,norte,0
147,20.6,65,14,937.03,1,11,3,5,0.951,0,2,69.68,basico,anual,cartao,sudeste,0
148,31.7,87,7,418.58,5,12,0,20,0.961,4,3,168.04,padrao,mensal,cartao,nordeste,0
149,26.9,12,8,1105.37,1,19,0,11,0.311,4,5,259.42,basico,anual,cartao,nordeste,0
150,2.3,104,16,890.52,5,24,2,16,0.947,4,5,43.26,padrao,mensal,boleto,sudeste,1
151,49.8,2,16,973.46,4,16,3,26,0.035,1,1,225.36,basico,mensal,pix,sul,0
152,53.9,108,3,876.32,1,20,3,24,0.981,8,1,391.13,basico,anual,debito,centro-oeste,0
153,9.3,79,6,455.81,2,12,2,24,0.836,5,2,348.94,premium,mensal,debito,sul,0
154,33.7,41,16,368.32,6,23,1,12,0.214,4,4,123.59,padrao,mensal,cartao,norte,0
155,7.4,1,18,530.12,3,11,1,1,0.6,9,2,230.0,basico,mensal,boleto,norte,0
156,40.7,73,1,152.56,5,12,3,29,0.798,5,4,101.61,basico,anual,debito,sudeste,0
157,17.6,11,16,563.49,5,1,0,29,0.319,9,1,134.67,padrao,anual,cartao,centro-oeste,0
158,39.9,73,9,90.04,0,7,0,25,0.354,2,1,372.18,basico,mensal,pix,centro-oeste,0
159,43.9,93,11,44.58,7,22,2,14,0.629,9,4,399.1,padrao,anual,boleto,norte,1
160,46.4,32,1,1120.54,2,2,1,8,0.147,10,2,127.22,padrao,mensal,cartao,sudeste,0
161,7.4,29,13,839.63,6,6,1,5,0.118,8,1,116.24,basico,mensal,cartao,centro-oeste,0
162,55.0,27,13,691.74,3,23,3,11,0.25,9,2,178.09,basico,mensal,boleto,sudeste,0
163,14.6,27,13,435.68,4,26,1,10,0.741,8,2,200.41,basico,mensal,cartao,nordeste,0
164,3.2,14,15,701.82,2,12,3,8,0.367,6,3,72.03,basico,anual,cartao,nordeste,0
165,33.7,30,18,1074.23,6,12,0,28,0.507,8,5,93.08,padrao,mensal,pix,norte,0
166,22.9,79,16,796.76,0,15,1,19,0.195,10,1,192.84,basico,mensal,debito,sudeste,0
167,50.0,36,14,738.88,7,23,0,6,0.194,6,4,124.65,premium,mensal,pix,centro-oeste,0
168,48.7,93,19,573.84,1,14,2,19,0.65,7,2,344.08,padrao,anual,pix,nordeste,0
169,19.7,98,13,441.01,7,5,3,21,0.108,0,3,310.46,basico,mensal,cartao,sul,0
170,57.2,91,13,850.31,0,12,3,15,0.668,10,2,232.98,padrao,mensal,boleto,sul,0
171,18.2,65,10,1177.94,0,7,0,28,0.401,8,2,195.65,basico,anual,pix,norte,0
172,31.4,38,15,532.72,0,20,3,28,0.671,1,3,339.06,basico,mensal,cartao,sudeste,1
173,16.1,111,1,494.96,4,4,0,12,0.382,3,3,99.66,padrao,anual,pix,sul,1
174,56.2,25,10,536.61,2,18,2,14,0.846,2,1,359.36,basico,mensal,cartao,centro-oeste,0
175,10.7,56,8,533.63,4,3,2,6,0.056,3,1,57.57,basico,mensal,boleto,centro-oeste,0
176,3.6,54,18,1189.12,6,29,0,23,0.893,9,2,372.32,basico,mensal,pix,sul,0
177,26.7,89,1,859.86,0,19,0,27,0.269,5,5,89.87,basico,mensal,debito,nordeste,0
178,59.6,66,12,456.65,4,4,0,19,0.043,4,2,332.26,padrao,mensal,cartao,nordeste,0
179,53.6,96,3,470.94,5,28,2,6,0.562,8,3,46.4,premium,anual,pix,sul,1
180,45.2,110,17,539.72,3,17,2,15,0.224,4,3,333.33,padrao,mensal,pix,sul,1
181,53.6,47,17,82.59,7,18,0,23,0.459,9,2,250.17,premium,mensal,cartao,sudeste,0
182,53.7,105,4,652.27,5,1,2,1,0.802,8,1,46.75,padrao,mensal,pix,centro-oeste,1
183,31.6,21,17,981.2,0,5,3,17,0.792,2,3,318.62,basico,anual,cartao,sul,0
184,19.6,110,9,806.26,4,24,0,19,0.6,6,5,76.46,premium,anual,pix,sudeste,0
185,46.5,22,19,270.17,3,14,2,16,0.978,5,5,234.27,basico,mensal,cartao,norte,0
186,40.0,102,14,884.52,1,18,1,19,0.464,3,2,159.42,basico,anual,cartao,sudeste,1
187,23.0,47,0,874.57,7,29,1,26,0.039,9,3,313.2,premium,anual,cartao,centro-oeste,0
188,6.6,115,4,344.55,1,12,1,3,0.819,4,2,347.06,padrao,mensal,boleto,centro-oeste,0
189,45.1,16,8,762.53,0,11,1,17,0.221,1,5,207.04,premium,mensal,cartao,nordeste,0
190,16.5,56,4,748.7,1,24,1,23,0.176,4,3,312.76,basico,mensal,boleto,sudeste,0
191,56.3,108,2,1014.15,6,1,0,24,0.07,5,5,369.88,padrao,mensal,debito,sudeste,0
192,15.2,6,19,197.84,4,13,1,14,0.328,1,5,288.01,basico,anual,debito,centro-oeste,0
193,8.2,32,17,266.01,6,25,2,29,0.326,8,2,155.82,basico,anual,debito,nordeste,0
194,50.0,10,8,603.72,3,6,1,9,0.303,2,3,206.69,premium,mensal,boleto,nordeste,0
195,10.0,39,4,91.21,0,9,2,13,0.593,1,3,122.7,basico,mensal,cartao,sudeste,0
196,11.6,47,3,522.09,3,14,0,24,0.752,5,2,204.93,padrao,anual,boleto,centro-oeste,0
197,36.4,74,18,954.33,1,2,0,13,0.938,1,5,128.42,premium,mensal,cartao,nordeste,0
198,52.6,31,6,212.51,4,2,3,10,0.094,8,3,330.51,premium,mensal,cartao,sudeste,0
199,12.6,19,0,573.54,2,7,1,16,0.15,0,2,259.47,basico,anual,boleto,sudeste,0
200,19.3,21,7,1188.13,7,26,2,18,0.59,4,3,267.87,basico,mensal,pix,centro-oeste,0
201,46.9,112,9,626.87,3,6,2,29,0.098,0,5,79.59,premium,mensal,debito,sudeste,0
202,58.3,114,12,618.06,2,21,0,18,0.371,4,3,40.43,padrao,anual,pix,sul,0
203,30.5,27,6,688.2,7,12,3,5,0.625,10,4,324.01,padrao,mensal,boleto,sudeste,0
204,9.5,24,18,255.77,4,22,1,1,0.781,7,5,235.13,basico,mensal,pix,sudeste,0
205,1.8,7,12,210.71,1,9,3,29,0.218,5,2,375.26,basico,anual,debito,centro-oeste,0
206,14.5,115,19,825.73,3,26,1,12,0.668,1,5,233.31,premium,mensal,pix,norte,1
207,8.8,85,7,499.09,2,11,1,6,0.646,3,3,117.18,padrao,mensal,debito,sul,1
208,41.0,91,13,376.29,5,23,2,6,0.86,4,3,291.35,padrao,mensal,debito,sudeste,1
209,8.2,35,7,76.41,4,24,0,3,0.314,6,4,292.25,basico,anual,pix,sul,0
210,30.9,77,13,1021.42,5,12,2,5,0.75,2,1,63.49,basico,mensal,debito,sul,0
211,42.0,8,14,77.5,7,20,3,23,0.752,10,4,289.61,padrao,mensal,boleto,norte,0
212,35.3,81,6,909.98,5,3,2,19,0.239,7,3,116.41,premium,mensal,boleto,nordeste,0
213,12.8,69,18,483.11,2,14,0,17,0.621,3,4,131.53,basico,mensal,cartao,nordeste,0
214,48.4,40,17,734.48,1,11,2,0,0.675,1,5,51.21,basico,anual,cartao,sudeste,0
215,43.2,85,17,327.31,4,28,0,20,0.274,6,3,265.75,padrao,anual,pix,sudeste,0
216,44.6,77,4,220.26,3,28,0,29,0.452,4,5,303.32,basico,mensal,debito,sul,0
217,8.7,53,14,658.73,2,23,1,27,0.436,7,3,122.88,basico,anual,cartao,sul,0
218,8.3,23,2,846.92,6,28,1,11,0.774,6,2,325.21,padrao,anual,pix,nordeste,0
219,55.7,3,2,266.77,7,29,0,18,0.001,7,4,314.23,basico,anual,cartao,centro-oeste,0
220,24.5,112,19,546.18,3,23,0,8,0.501,9,1,187.42,padrao,mensal,debito,nordeste,0
221,18.8,34,3,555.8,5,17,3,26,0.184,5,5,64.46,basico,mensal,pix,sul,0
222,29.8,36,17,290.54,7,6,1,27,0.647,7,1,140.77,padrao,anual,boleto,nordeste,0
223,40.1,82,8,695.46,0,24,0,6,0.68,3,3,99.45,padrao,mensal,boleto,sudeste,1
224,57.4,31,6,209.29,2,5,1,14,0.501,10,5,385.07,padrao,mensal,debito,norte,0
225,17.9,45,1,631.31,5,5,2,7,0.542,4,1,334.29,padrao,mensal,boleto,sudeste,0
226,55.6,85,13,171.58,3,26,2,18,0.315,7,3,68.12,padrao,mensal,cartao,sul,0
227,2.5,71,14,603.23,6,3,1,8,0.313,10,3,224.75,basico,mensal,pix,centro-oeste,0
228,33.8,79,9,401.45,3,4,0,20,0.745,3,2,135.98,basico,mensal,pix,nordeste,0
229,38.4,1,16,564.61,0,15,3,29,0.132,1,4,51.46,basico,mensal,pix,norte,0
230,7.2,54,6,543.15,3,17,2,26,0.772,2,2,155.93,padrao,mensal,boleto,sul,1
231,9.3,57,11,1093.2,3,1,3,5,0.655,2,2,85.83,basico,mensal,boleto,centro-oeste,1
232,25.7,76,5,608.33,6,11,1,3,0.884,0,2,120.08,basico,mensal,cartao,sul,0
233,58.0,19,11,989.46,1,6,0,24,0.26,5,4,157.45,padrao,anual,debito,sul,0
234,36.2,19,2,301.76,1,9,1,2,0.506,3,5,187.1,padrao,mensal,cartao,sudeste,0
235,56.0,91,9,448.42,1,5,1,12,0.039,1,1,208.54,basico,mensal,boleto,sul,0
236,48.5,81,10,127.1,4,20,2,29,0.913,1,3,227.17,basico,anual,cartao,nordeste,0
237,28.6,97,11,528.07,7,14,2,13,0.675,3,2,173.1,padrao,mensal,cartao,sudeste,1
238,47.3,33,8,815.69,4,28,0,0,0.623,4,2,219.31,premium,mensal,cartao,sudeste,0
239,2.1,119,12,1012.27,6,0,2,29,0.733,10,5,190.33,padrao,mensal,boleto,sul,0
240,7.4,33,10,696.46,6,23,1,21,0.284,7,4,387.1,basico,mensal,debito,norte,0
241,49.9,78,5,782.48,4,27,2,9,0.604,7,5,64.25,padrao,mensal,cartao,nordeste,0
242,48.0,20,4,245.63,4,14,1,18,0.801,7,4,250.84,basico,mensal,debito,sudeste,0
243,14.7,110,12,83.16,1,20,2,18,0.09,8,4,109.61,basico,mensal,pix,sudeste,1
244,32.3,40,18,958.36,7,13,2,16,0.959,3,4,175.06,basico,mensal,debito,sudeste,0
245,36.8,96,15,233.76,6,17,1,28,0.892,1,4,236.63,basico,mensal,pix,sul,0
246,52.2,40,12,145.76,6,27,0,23,0.963,5,5,313.43,padrao,anual,debito,sul,0
247,36.6,95,18,1127.57,7,15,2,7,0.808,0,2,391.88,padrao,mensal,pix,sudeste,0
248,25.3,55,17,1157.68,2,17,3,29,0.294,2,1,217.6,padrao,mensal,debito,nordeste,0
249,23.1,8,10,754.86,1,29,1,28,0.582,8,3,132.41,padrao,mensal,cartao,nordeste,0
250,26.1,23,2,479.22,6,14,3,1,0.12,5,1,324.87,basico,anual,debito,norte,0
251,39.5,82,12,1006.56,3,5,0,8,0.754,7,1,119.67,padrao,mensal,cartao,centro-oeste,0
252,52.2,23,12,277.48,7,20,3,18,0.154,5,1,222.72,padrao,anual,cartao,norte,0
253,27.8,33,5,538.1,5,20,3,26,0.867,5,1,344.72,padrao,mensal,pix,centro-oeste,0
254,15.6,65,16,454.14,2,7,1,21,0.241,3,4,185.27,basico,anual,boleto,centro-oeste,0
255,15.0,31,17,1098.73,2,21,0,17,0.16,2,3,240.41,padrao,mensal,cartao,centro-oeste,0
256,45.0,16,6,1106.94,4,1,2,9,0.071,2,5,82.94,padrao,anual,debito,sul,0
257,49.2,75,9,795.03,3,9,3,2,0.711,8,2,60.05,basico,mensal,pix,sudeste,0
258,7.2,82,3,168.46,2,25,0,26,0.186,10,2,394.96,premium,mensal,boleto,sudeste,1
259,4.9,88,3,599.34,1,18,2,15,0.198,0,3,104.3,basico,anual,boleto,centro-oeste,1
260,36.1,113,5,324.58,5,18,3,13,0.17,5,4,160.7,basico,anual,pix,centro-oeste,1
261,9.6,15,7,1066.5,0,18,0,29,0.306,5,5,221.59,padrao,anual,boleto,sul,0
262,49.7,51,5,200.55,0,4,2,4,0.941,6,4,174.71,padrao,mensal,pix,norte,0
263,19.3,28,3,103.0,0,28,0,7,0.487,2,3,74.94,padrao,mensal,cartao,nordeste,0
264,9.5,108,8,857.14,5,8,0,25,0.261,0,5,110.79,padrao,mensal,boleto,sudeste,1
265,55.3,65,12,565.81,0,23,1,8,0.17,2,1,217.54,premium,mensal,cartao,norte,0
266,10.8,12,6,1012.5,3,29,1,28,0.019,2,3,197.87,basico,mensal,boleto,sudeste,0
267,17.8,83,10,126.57,0,7,0,25,0.365,0,2,327.25,basico,mensal,boleto,sudeste,0
268,10.1,6,5,969.25,4,19,3,2,0.11,3,1,152.14,padrao,mensal,pix,nordeste,0
